Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,04-Dec-18,670.35,672.55,688.25,671.3,683,685.25,682.83,7827923,5345133354,129170,4357939,55.67
INFY,EQ,05-Dec-18,685.25,683,683.65,672.5,682.05,681.4,678.97,5177288,3515206694,96257,3101033,59.9
INFY,EQ,06-Dec-18,681.4,676.1,685.45,664.55,669.7,668.5,672.12,8039771,5403659738,229269,3922722,48.79
INFY,EQ,07-Dec-18,668.5,672,685.75,665.6,681,682.8,679.07,5553948,3771508979,125999,3024829,54.46
INFY,EQ,10-Dec-18,682.8,669.9,683.8,665.2,670.3,669.2,671.47,5121196,3438717513,119910,3114377,60.81
INFY,EQ,11-Dec-18,669.2,669.2,681.9,660.6,673.25,674.5,672.27,7120933,4787161579,204697,3767399,52.91
INFY,EQ,12-Dec-18,674.5,677.1,680.65,670.6,678.1,678.5,675.12,6926183,4675985776,92411,3725735,53.79
INFY,EQ,13-Dec-18,678.5,682,700,680,695.35,697.75,690.27,7521474,5191853566,187302,4679887,62.22
INFY,EQ,14-Dec-18,697.75,697.45,713.7,694.4,706.15,706.05,705.93,9560576,6749101215,158039,4777005,49.97
INFY,EQ,17-Dec-18,706.05,711.85,711.85,692.75,692.75,694.4,697.79,4778465,3334376899,95026,2319758,48.55
